myFlowerExperiment | INFO flwr 2024-05-10 22:04:58,506 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=200, round_timeout=None)
myFlowerExperiment | INFO flwr 2024-05-10 22:04:58,533 | app.py:176 | Flower ECE: gRPC server running (200 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2024-05-10 22:04:58,534 | server.py:89 | Initializing global parameters
myFlowerExperiment | INFO flwr 2024-05-10 22:04:58,534 | server.py:272 | Using initial parameters provided by strategy
myFlowerExperiment | INFO flwr 2024-05-10 22:04:58,534 | server.py:91 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2024-05-10 22:04:58,550 | server.py:62 | err occurs in set parameters index 0 is out of bounds for dimension 0 with size 0
myFlowerExperiment | INFO flwr 2024-05-10 22:05:04,413 | fed_avg.py:145 | server-side evaluation loss 182.6495065689087 / accuracy 0.0864
myFlowerExperiment | INFO flwr 2024-05-10 22:05:04,414 | server.py:94 | initial parameters (loss, other metrics): 182.6495065689087, {'accuracy': 0.0864}
myFlowerExperiment | INFO flwr 2024-05-10 22:05:04,414 | server.py:104 | FL starting
myFlowerExperiment | INFO flwr 2024-05-10 22:05:04,415 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 22:05:04,415 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 22:05:04,415 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 22:05:04,415 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 22:16:49,907 | server.py:236 | fit_round 1 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 22:16:51,605 | fed_avg.py:145 | server-side evaluation loss 167.98346614837646 / accuracy 0.1305
myFlowerExperiment | INFO flwr 2024-05-10 22:16:51,605 | server.py:125 | fit progress: (1, 167.98346614837646, {'accuracy': 0.1305}, 707.1908666789532)
myFlowerExperiment | INFO flwr 2024-05-10 22:16:51,605 | server.py:171 | evaluate_round 1: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 22:16:51,606 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 22:16:51,606 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 22:16:51,606 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 22:16:51,606 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 22:28:42,588 | server.py:236 | fit_round 2 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 22:28:44,384 | fed_avg.py:145 | server-side evaluation loss 4.746965445636306 / accuracy 0.9806
myFlowerExperiment | INFO flwr 2024-05-10 22:28:44,385 | server.py:125 | fit progress: (2, 4.746965445636306, {'accuracy': 0.9806}, 1419.9700587479747)
myFlowerExperiment | INFO flwr 2024-05-10 22:28:44,385 | server.py:171 | evaluate_round 2: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 22:28:44,385 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 22:28:44,385 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 22:28:44,385 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 22:28:44,385 | server.py:222 | fit_round 3: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 22:34:37,323 | server.py:236 | fit_round 3 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 22:34:39,047 | fed_avg.py:145 | server-side evaluation loss 4.0015057063428685 / accuracy 0.9827
myFlowerExperiment | INFO flwr 2024-05-10 22:34:39,047 | server.py:125 | fit progress: (3, 4.0015057063428685, {'accuracy': 0.9827}, 1774.6327318029944)
myFlowerExperiment | INFO flwr 2024-05-10 22:34:39,047 | server.py:171 | evaluate_round 3: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 22:34:39,047 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 22:34:39,047 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 22:34:39,048 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 22:34:39,048 | server.py:222 | fit_round 4: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 22:40:31,539 | server.py:236 | fit_round 4 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 22:40:33,249 | fed_avg.py:145 | server-side evaluation loss 3.3952681722003035 / accuracy 0.9854
myFlowerExperiment | INFO flwr 2024-05-10 22:40:33,250 | server.py:125 | fit progress: (4, 3.3952681722003035, {'accuracy': 0.9854}, 2128.835812468955)
myFlowerExperiment | INFO flwr 2024-05-10 22:40:33,250 | server.py:171 | evaluate_round 4: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 22:40:33,251 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 22:40:33,251 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 22:40:33,251 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 22:40:33,251 | server.py:222 | fit_round 5: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 22:46:18,416 | server.py:236 | fit_round 5 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 22:46:20,154 | fed_avg.py:145 | server-side evaluation loss 3.0762268480320927 / accuracy 0.987
myFlowerExperiment | INFO flwr 2024-05-10 22:46:20,154 | server.py:125 | fit progress: (5, 3.0762268480320927, {'accuracy': 0.987}, 2475.7396484189667)
myFlowerExperiment | INFO flwr 2024-05-10 22:46:20,154 | server.py:171 | evaluate_round 5: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 22:46:20,154 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 22:46:20,154 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 22:46:20,154 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 22:46:20,155 | server.py:222 | fit_round 6: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 22:51:54,550 | server.py:236 | fit_round 6 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 22:51:56,104 | fed_avg.py:145 | server-side evaluation loss 2.689930541324429 / accuracy 0.9891
myFlowerExperiment | INFO flwr 2024-05-10 22:51:56,105 | server.py:125 | fit progress: (6, 2.689930541324429, {'accuracy': 0.9891}, 2811.6900923139765)
myFlowerExperiment | INFO flwr 2024-05-10 22:51:56,105 | server.py:171 | evaluate_round 6: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 22:51:56,105 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 22:51:56,105 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 22:51:56,105 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 22:51:56,105 | server.py:222 | fit_round 7: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 22:57:43,875 | server.py:236 | fit_round 7 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 22:57:45,431 | fed_avg.py:145 | server-side evaluation loss 2.7932868855277775 / accuracy 0.9875
myFlowerExperiment | INFO flwr 2024-05-10 22:57:45,431 | server.py:125 | fit progress: (7, 2.7932868855277775, {'accuracy': 0.9875}, 3161.016331754974)
myFlowerExperiment | INFO flwr 2024-05-10 22:57:45,431 | server.py:171 | evaluate_round 7: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 22:57:45,431 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 22:57:45,431 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 22:57:45,431 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>]
myFlowerExperiment | DEBUG flwr 2024-05-10 22:57:45,431 | server.py:222 | fit_round 8: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 23:03:30,446 | server.py:236 | fit_round 8 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 23:03:32,005 | fed_avg.py:145 | server-side evaluation loss 2.4953334977763006 / accuracy 0.9889
myFlowerExperiment | INFO flwr 2024-05-10 23:03:32,005 | server.py:125 | fit progress: (8, 2.4953334977763006, {'accuracy': 0.9889}, 3507.590386771946)
myFlowerExperiment | INFO flwr 2024-05-10 23:03:32,005 | server.py:171 | evaluate_round 8: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 23:03:32,005 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 23:03:32,005 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 23:03:32,005 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 23:03:32,005 | server.py:222 | fit_round 9: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 23:09:27,596 | server.py:236 | fit_round 9 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 23:09:29,185 | fed_avg.py:145 | server-side evaluation loss 2.3998815668164752 / accuracy 0.9895
myFlowerExperiment | INFO flwr 2024-05-10 23:09:29,185 | server.py:125 | fit progress: (9, 2.3998815668164752, {'accuracy': 0.9895}, 3864.7708749789745)
myFlowerExperiment | INFO flwr 2024-05-10 23:09:29,186 | server.py:171 | evaluate_round 9: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 23:09:29,186 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 23:09:29,186 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 23:09:29,186 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 23:09:29,186 | server.py:222 | fit_round 10: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 23:15:04,342 | server.py:236 | fit_round 10 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 23:15:05,937 | fed_avg.py:145 | server-side evaluation loss 2.3521087252302095 / accuracy 0.9895
myFlowerExperiment | INFO flwr 2024-05-10 23:15:05,937 | server.py:125 | fit progress: (10, 2.3521087252302095, {'accuracy': 0.9895}, 4201.522241861967)
myFlowerExperiment | INFO flwr 2024-05-10 23:15:05,937 | server.py:171 | evaluate_round 10: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 23:15:05,937 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 23:15:05,937 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 23:15:05,937 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>]
myFlowerExperiment | DEBUG flwr 2024-05-10 23:15:05,937 | server.py:222 | fit_round 11: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 23:20:54,653 | server.py:236 | fit_round 11 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 23:20:56,237 | fed_avg.py:145 | server-side evaluation loss 2.2706463619542774 / accuracy 0.9902
myFlowerExperiment | INFO flwr 2024-05-10 23:20:56,238 | server.py:125 | fit progress: (11, 2.2706463619542774, {'accuracy': 0.9902}, 4551.823102097958)
myFlowerExperiment | INFO flwr 2024-05-10 23:20:56,238 | server.py:171 | evaluate_round 11: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 23:20:56,238 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 23:20:56,238 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 23:20:56,238 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 23:20:56,238 | server.py:222 | fit_round 12: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 23:26:40,799 | server.py:236 | fit_round 12 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 23:26:42,363 | fed_avg.py:145 | server-side evaluation loss 2.023749519677949 / accuracy 0.9908
myFlowerExperiment | INFO flwr 2024-05-10 23:26:42,363 | server.py:125 | fit progress: (12, 2.023749519677949, {'accuracy': 0.9908}, 4897.948792272946)
myFlowerExperiment | INFO flwr 2024-05-10 23:26:42,363 | server.py:171 | evaluate_round 12: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 23:26:42,363 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 23:26:42,364 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 23:26:42,364 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 23:26:42,364 | server.py:222 | fit_round 13: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 23:32:23,546 | server.py:236 | fit_round 13 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 23:32:25,129 | fed_avg.py:145 | server-side evaluation loss 2.111172650300432 / accuracy 0.9905
myFlowerExperiment | INFO flwr 2024-05-10 23:32:25,130 | server.py:125 | fit progress: (13, 2.111172650300432, {'accuracy': 0.9905}, 5240.715092981001)
myFlowerExperiment | INFO flwr 2024-05-10 23:32:25,130 | server.py:171 | evaluate_round 13: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 23:32:25,130 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 23:32:25,130 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 23:32:25,130 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 23:32:25,130 | server.py:222 | fit_round 14: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 23:37:56,998 | server.py:236 | fit_round 14 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 23:37:58,556 | fed_avg.py:145 | server-side evaluation loss 2.0407248182455078 / accuracy 0.991
myFlowerExperiment | INFO flwr 2024-05-10 23:37:58,557 | server.py:125 | fit progress: (14, 2.0407248182455078, {'accuracy': 0.991}, 5574.142114103946)
myFlowerExperiment | INFO flwr 2024-05-10 23:37:58,557 | server.py:171 | evaluate_round 14: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 23:37:58,557 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 23:37:58,557 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 23:37:58,557 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>]
myFlowerExperiment | DEBUG flwr 2024-05-10 23:37:58,557 | server.py:222 | fit_round 15: strategy sampled 5 clients (out of 5)
myFlowerExperiment | DEBUG flwr 2024-05-10 23:43:42,831 | server.py:236 | fit_round 15 received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-10 23:43:44,379 | fed_avg.py:145 | server-side evaluation loss 2.0071305169331026 / accuracy 0.9915
myFlowerExperiment | INFO flwr 2024-05-10 23:43:44,380 | server.py:125 | fit progress: (15, 2.0071305169331026, {'accuracy': 0.9915}, 5919.964983930986)
myFlowerExperiment | INFO flwr 2024-05-10 23:43:44,380 | server.py:171 | evaluate_round 15: no clients selected, cancel
myFlowerExperiment | INFO flwr 2024-05-10 23:43:44,380 | fed_avg.py:80 | --------------in configure_fit------------------
myFlowerExperiment | INFO flwr 2024-05-10 23:43:44,380 | fedavg_client_manager.py:48 | type cids <class 'list'> type num_clients <class 'int'>
myFlowerExperiment | INFO flwr 2024-05-10 23:43:44,380 | fed_avg.py:88 | clients [<flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf68c0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b9b2e0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5450>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506bf5ea0>, <flwr.server.fleet.grpc_bidi.grpc_client_proxy.GrpcClientProxy object at 0x734506b99cf0>]
myFlowerExperiment | DEBUG flwr 2024-05-10 23:43:44,380 | server.py:222 | fit_round 16: strategy sampled 5 clients (out of 5)
